group,variable,value,mutation
SampleID-1365,EGFR,,
SampleID-1365,PLEKHA1,,
SampleID-0670,BRCA1,,Insertion
SampleID-0670,BRCA2,,
SampleID-0670,NOTCH1,,
SampleID-0670,PLEKHA1,,
SampleID-0931,BRCA1,,Insertion
SampleID-0931,BRCA2,,
SampleID-0931,NOTCH1,,
SampleID-0931,EGFR,,
SampleID-0931,PLEKHA1,,
SampleID-1991,NOTCH1,,SNV
SampleID-1991,EGFR,,
SampleID-1991,PLEKHA1,,
SampleID-2921,NOTCH1,,
SampleID-2921,PLEKHA1,,
SampleID-0869,EGFR,,
SampleID-1325,BRCA1,,
SampleID-1325,BRCA2,,
SampleID-1325,NOTCH1,,
SampleID-1325,EGFR,,
SampleID-1325,PLEKHA1,,
SampleID-2742,BRCA1,,
SampleID-2742,NOTCH1,,SNV
SampleID-2742,EGFR,,
SampleID-1374,BRCA1,,
SampleID-1374,BRCA2,,
SampleID-1374,NOTCH1,,
SampleID-1374,PLEKHA1,,
SampleID-2891,NOTCH1,,
SampleID-2891,PLEKHA1,,
SampleID-2055,EGFR,,
SampleID-2055,PLEKHA1,,
SampleID-2397,BRCA1,,
SampleID-2397,BRCA2,,
SampleID-2397,NOTCH1,,SNV
SampleID-2397,PLEKHA1,,
SampleID-1520,BRCA1,,
SampleID-1520,BRCA2,,
SampleID-1520,NOTCH1,,
SampleID-1520,EGFR,,
SampleID-1520,PLEKHA1,,
SampleID-1941,EGFR,,
SampleID-2308,BRCA2,,
SampleID-2308,NOTCH1,,
SampleID-2308,EGFR,,
SampleID-2308,PLEKHA1,,
SampleID-1475,BRCA2,,
SampleID-1475,NOTCH1,,
SampleID-1475,PLEKHA1,,
SampleID-2697,BRCA2,,
SampleID-2697,PLEKHA1,,
SampleID-1705,BRCA2,,SNV
SampleID-1705,NOTCH1,,SNV
SampleID-2721,NOTCH1,,
SampleID-2721,PLEKHA1,,
SampleID-2488,BRCA1,,
SampleID-2488,EGFR,,
SampleID-2488,PLEKHA1,,
SampleID-1350,BRCA1,,
SampleID-1350,NOTCH1,,
SampleID-1350,EGFR,,
SampleID-1350,PLEKHA1,,
SampleID-2208,BRCA1,,SNV
SampleID-2208,BRCA2,,
SampleID-2208,NOTCH1,,
SampleID-2208,PLEKHA1,,
SampleID-1340,BRCA2,,
SampleID-1340,NOTCH1,,"Deletion,<br>SNV"
SampleID-1340,EGFR,,
SampleID-2518,BRCA2,,
SampleID-2518,NOTCH1,,
SampleID-2518,PLEKHA1,,
SampleID-2010,BRCA1,,
SampleID-2010,BRCA2,,
SampleID-2010,NOTCH1,,
SampleID-2010,EGFR,,SNV
SampleID-2010,PLEKHA1,,
SampleID-1037,PLEKHA1,,
SampleID-2215,BRCA1,,Deletion
SampleID-2215,BRCA2,,
SampleID-2215,EGFR,,
SampleID-1019,BRCA1,,
SampleID-1019,BRCA2,,
SampleID-1019,NOTCH1,,
SampleID-1019,EGFR,,
SampleID-1019,PLEKHA1,,
SampleID-0437,BRCA1,,
SampleID-0437,BRCA2,,
SampleID-0437,NOTCH1,,
SampleID-0437,EGFR,,
SampleID-0437,PLEKHA1,,
SampleID-2970,BRCA1,,
SampleID-2970,NOTCH1,,SNV
SampleID-2970,EGFR,,
SampleID-2970,PLEKHA1,,
SampleID-1408,EGFR,,
SampleID-1408,PLEKHA1,,
SampleID-2353,BRCA1,,
SampleID-2353,NOTCH1,,
SampleID-2436,BRCA1,,
SampleID-2436,BRCA2,,
SampleID-2436,NOTCH1,,
SampleID-2436,EGFR,,
SampleID-2436,PLEKHA1,,
SampleID-2198,BRCA1,,
SampleID-2198,BRCA2,,
SampleID-2198,NOTCH1,,
SampleID-2198,EGFR,,
SampleID-2198,PLEKHA1,,
SampleID-2611,BRCA1,,Insertion
SampleID-2611,NOTCH1,,
SampleID-2611,EGFR,,
SampleID-2611,PLEKHA1,,
SampleID-2432,BRCA1,,
SampleID-2432,NOTCH1,,
SampleID-2432,PLEKHA1,,
SampleID-1967,BRCA2,,SNV
SampleID-1967,NOTCH1,,
SampleID-1967,EGFR,,
SampleID-1967,PLEKHA1,,
SampleID-1727,BRCA1,,SNV
SampleID-1727,BRCA2,,
SampleID-1727,NOTCH1,,
SampleID-1727,EGFR,,
SampleID-2849,BRCA1,,
SampleID-2849,BRCA2,,
SampleID-2849,NOTCH1,,
SampleID-2849,EGFR,,
SampleID-2849,PLEKHA1,,
SampleID-2623,BRCA2,,
SampleID-2623,EGFR,,
SampleID-2468,BRCA2,,
SampleID-2468,NOTCH1,,
SampleID-2468,PLEKHA1,,
SampleID-1242,BRCA2,,
SampleID-1242,EGFR,,Deletion
SampleID-1242,PLEKHA1,,
SampleID-1906,BRCA1,,
SampleID-1906,PLEKHA1,,
SampleID-2279,BRCA1,,
SampleID-2279,BRCA2,,
SampleID-2279,EGFR,,
SampleID-2279,PLEKHA1,,
SampleID-1883,BRCA2,,
SampleID-1883,NOTCH1,,
SampleID-1883,EGFR,,
SampleID-1883,PLEKHA1,,
SampleID-1167,BRCA2,,Deletion
SampleID-1167,NOTCH1,,
SampleID-1167,EGFR,,
SampleID-1167,PLEKHA1,,
SampleID-2061,EGFR,,
SampleID-2061,PLEKHA1,,
SampleID-1153,BRCA1,,
SampleID-1153,BRCA2,,
SampleID-1153,NOTCH1,,
SampleID-1153,EGFR,,
SampleID-1153,PLEKHA1,,
SampleID-2616,BRCA1,,
SampleID-2616,BRCA2,,
SampleID-2616,PLEKHA1,,
SampleID-1124,BRCA1,,SNV
SampleID-1124,BRCA2,,
SampleID-1124,PLEKHA1,,
SampleID-1151,BRCA1,,
SampleID-1151,BRCA2,,
SampleID-0807,BRCA1,,
SampleID-0807,BRCA2,,
SampleID-0807,NOTCH1,,
SampleID-2515,NOTCH1,,
SampleID-2515,PLEKHA1,,
SampleID-2431,EGFR,,
SampleID-2431,PLEKHA1,,
SampleID-1171,BRCA2,,
SampleID-1171,NOTCH1,,
SampleID-1646,BRCA1,,
SampleID-1646,BRCA2,,
SampleID-1646,EGFR,,
SampleID-0708,BRCA1,,
SampleID-0708,BRCA2,,
SampleID-0708,NOTCH1,,
SampleID-0717,BRCA1,,
SampleID-0717,BRCA2,,
SampleID-0717,NOTCH1,,
SampleID-0717,EGFR,,
SampleID-0717,PLEKHA1,,
SampleID-1017,BRCA1,,
SampleID-1017,BRCA2,,
SampleID-1017,NOTCH1,,
SampleID-1017,EGFR,,
SampleID-1017,PLEKHA1,,
SampleID-1684,BRCA1,,
SampleID-1684,BRCA2,,
SampleID-1684,EGFR,,
SampleID-1684,PLEKHA1,,
SampleID-1018,BRCA1,,
SampleID-1018,BRCA2,,
SampleID-1018,NOTCH1,,
SampleID-1018,PLEKHA1,,
SampleID-1938,BRCA1,,
SampleID-1938,BRCA2,,SNV
SampleID-1938,NOTCH1,,
SampleID-1938,EGFR,,
SampleID-1938,PLEKHA1,,
SampleID-2328,NOTCH1,,
SampleID-2328,PLEKHA1,,
SampleID-2640,BRCA1,,
SampleID-2640,BRCA2,,
SampleID-2640,NOTCH1,,
SampleID-2640,PLEKHA1,,
SampleID-1647,NOTCH1,,
SampleID-1260,BRCA1,,
SampleID-1260,BRCA2,,
SampleID-1260,NOTCH1,,
SampleID-1260,PLEKHA1,,
SampleID-1453,BRCA2,,
SampleID-1453,NOTCH1,,
SampleID-1184,BRCA1,,
SampleID-1184,BRCA2,,
SampleID-1184,NOTCH1,,
SampleID-1184,EGFR,,
SampleID-1184,PLEKHA1,,
SampleID-2349,BRCA1,,
SampleID-2349,EGFR,,
SampleID-0012,BRCA2,,
SampleID-0012,NOTCH1,,
SampleID-0012,PLEKHA1,,
SampleID-0473,BRCA1,,
SampleID-0473,BRCA2,,
SampleID-0473,NOTCH1,,
SampleID-0473,PLEKHA1,,
SampleID-1059,BRCA1,,
SampleID-1059,BRCA2,,
SampleID-1059,NOTCH1,,
SampleID-1059,PLEKHA1,,
SampleID-0019,BRCA1,,
SampleID-0019,BRCA2,,
SampleID-0019,EGFR,,SNV
SampleID-2810,BRCA2,,
SampleID-2810,NOTCH1,,
SampleID-2810,EGFR,,
SampleID-2810,PLEKHA1,,
SampleID-1909,BRCA1,,
SampleID-1909,NOTCH1,,"SNV,<br>Deletion"
SampleID-1909,PLEKHA1,,
SampleID-1714,BRCA1,,
SampleID-1714,BRCA2,,SNV
SampleID-1714,EGFR,,
SampleID-1714,PLEKHA1,,
SampleID-0888,BRCA1,,
SampleID-0888,BRCA2,,Insertion
SampleID-0888,NOTCH1,,
SampleID-0888,EGFR,,
SampleID-0888,PLEKHA1,,
SampleID-2652,BRCA1,,SNV
SampleID-2652,BRCA2,,
SampleID-2652,NOTCH1,,
SampleID-2652,EGFR,,
SampleID-0018,BRCA1,,
SampleID-0018,BRCA2,,
SampleID-0018,NOTCH1,,
SampleID-1106,NOTCH1,,
SampleID-1106,EGFR,,
SampleID-2829,BRCA2,,SNV
SampleID-2829,NOTCH1,,
SampleID-2829,EGFR,,
SampleID-0052,NOTCH1,,
SampleID-1478,BRCA2,,
SampleID-1478,NOTCH1,,SNV
SampleID-1478,EGFR,,
SampleID-1478,PLEKHA1,,
SampleID-0017,BRCA2,,
SampleID-0017,NOTCH1,,
SampleID-1211,BRCA1,,
SampleID-1211,BRCA2,,
SampleID-2892,BRCA1,,
SampleID-2892,BRCA2,,
SampleID-2892,NOTCH1,,
SampleID-2892,EGFR,,
SampleID-2892,PLEKHA1,,
